"","Haematocrit %","Haemoglobin concentration","White blood cell count","Fluid intelligence","Max digits attempted","Number correct symbol matches","Mean time correct matches","Cheese intake","Diabetes diagnosis","Overall health rating","Time spent watching television","Part of multiple birth","Time spent outdoors summer","Time spent outdoors winter","Maternal smoking around birth","Body fat percentage","Frequency vigourous activity","Acceleration force","Pulse rate 1","Pulse rate 2","Heel bone mineral density bmd","Heel bone mineral density tscore","Hip circumference","Waist circumference","Hand grip strength left","Hand grip strenght right","Forced vital capacity","Forced expiratory volume","Basal metabolic rate","Alcohol intake","Smoking Status","Past tobacco use","Number cigarettes previously smoked","Amount alcohol drunk typical day"
"Frequency vigourous activity","-0.0292 (SE=0.025; p=0.12)","-0.0362 (SE=0.024; p=0.062)","-0.0257 (SE=0.021; p=0.11)","-0.0619 (SE=0.014; p=9e-06)","-0.0195 (SE=0.019; p=0.16)","-0.0133 (SE=0.019; p=0.24)","0.0136 (SE=0.015; p=0.19)","-0.0227 (SE=0.015; p=0.064)","0.000223 (SE=0.015; p=0.49)","-0.143 (SE=0.01; p=0)","-0.0716 (SE=0.015; p=6.3e-07)","0.025 (SE=0.017; p=0.07)","0.147 (SE=0.02; p=1.4e-13)","0.18 (SE=0.022; p=5.6e-17)","0.0218 (SE=0.024; p=0.18)","0.014 (SE=0.017; p=0.2)",NA,"1 (SE=0.13; p=1e-07)","-0.385 (SE=0.16; p=0.012)","-0.427 (SE=0.16; p=0.0072)","-0.0185 (SE=0.2; p=0.46)","-0.0258 (SE=0.2; p=0.45)","-0.0166 (SE=0.2; p=0.47)","-0.279 (SE=0.16; p=0.051)","-0.0778 (SE=0.16; p=0.32)","-0.102 (SE=0.16; p=0.27)","0.329 (SE=0.2; p=0.065)","0.214 (SE=0.21; p=0.17)","0.162 (SE=0.14; p=0.14)","0.139 (SE=0.18; p=0.23)","0.0299 (SE=0.16; p=0.43)","-0.102 (SE=0.17; p=0.28)","0.368 (SE=0.19; p=0.036)","-0.39 (SE=0.17; p=0.017)"
"Acceleration force","0.0212 (SE=0.032; p=0.25)","0.023 (SE=0.031; p=0.23)","-0.0177 (SE=0.027; p=0.25)","-0.0514 (SE=0.022; p=0.0087)","0.00455 (SE=0.027; p=0.43)","0.0153 (SE=0.027; p=0.29)","0.00997 (SE=0.019; p=0.3)","0.00416 (SE=0.022; p=0.43)","0.00123 (SE=0.02; p=0.48)","-0.0814 (SE=0.018; p=1.9e-06)","-0.0577 (SE=0.018; p=0.00052)","-0.0624 (SE=0.024; p=0.0046)","0.08 (SE=0.031; p=0.0045)","0.1 (SE=0.034; p=0.0016)","0.0774 (SE=0.038; p=0.021)","0.0755 (SE=0.021; p=0.00015)","0.109 (SE=0.027; p=3.4e-05)",NA,"-0.604 (SE=0.16; p=0.00019)","-0.625 (SE=0.16; p=0.00019)","-0.106 (SE=0.21; p=0.3)","-0.0997 (SE=0.2; p=0.31)","0.301 (SE=0.21; p=0.081)","-0.138 (SE=0.17; p=0.21)","-0.218 (SE=0.16; p=0.094)","-0.271 (SE=0.15; p=0.042)","0.591 (SE=0.22; p=0.0078)","0.479 (SE=0.22; p=0.022)","0.547 (SE=0.17; p=0.0017)","-0.0375 (SE=0.19; p=0.42)","0.203 (SE=0.17; p=0.12)","-0.24 (SE=0.17; p=0.087)","0.26 (SE=0.2; p=0.11)","-0.191 (SE=0.18; p=0.15)"
"Pulse rate 1","0.118 (SE=0.027; p=5.2e-06)","0.123 (SE=0.026; p=8.4e-07)","0.131 (SE=0.026; p=3.1e-07)","0.0267 (SE=0.016; p=0.049)","-0.0171 (SE=0.022; p=0.22)","-0.029 (SE=0.023; p=0.099)","-0.0289 (SE=0.017; p=0.041)","0.0436 (SE=0.015; p=0.0024)","0.0419 (SE=0.018; p=0.011)","0.044 (SE=0.02; p=0.013)","0.0758 (SE=0.018; p=1.3e-05)","0.0299 (SE=0.017; p=0.042)","-0.00838 (SE=0.016; p=0.3)","-0.0147 (SE=0.016; p=0.18)","0.0219 (SE=0.024; p=0.18)","-0.0558 (SE=0.018; p=0.001)","-0.109 (SE=0.012; p=0)","-0.057 (SE=0.017; p=0.00046)",NA,"1 (SE=0.0042; p=5.6e-16)","-0.394 (SE=0.16; p=0.0071)","-0.39 (SE=0.16; p=0.0071)","-0.353 (SE=0.17; p=0.02)","0.672 (SE=0.13; p=1.6e-06)","-0.0955 (SE=0.14; p=0.25)","0.0927 (SE=0.14; p=0.25)","-0.455 (SE=0.19; p=0.0097)","-0.462 (SE=0.19; p=0.0087)","-0.552 (SE=0.11; p=4.5e-06)","0.225 (SE=0.16; p=0.076)","-0.00783 (SE=0.14; p=0.48)","0.0147 (SE=0.15; p=0.46)","0.0401 (SE=0.17; p=0.41)","0.0755 (SE=0.14; p=0.3)"
"Pulse rate 2","0.133 (SE=0.027; p=4.8e-07)","0.136 (SE=0.026; p=1.1e-07)","0.127 (SE=0.026; p=7.5e-07)","0.0256 (SE=0.016; p=0.059)","-0.0151 (SE=0.022; p=0.25)","-0.0271 (SE=0.023; p=0.11)","-0.0277 (SE=0.016; p=0.046)","0.0385 (SE=0.016; p=0.0067)","0.0425 (SE=0.018; p=0.01)","0.0344 (SE=0.019; p=0.038)","0.0799 (SE=0.018; p=4.6e-06)","0.0359 (SE=0.017; p=0.02)","0.00679 (SE=0.016; p=0.33)","-0.00215 (SE=0.016; p=0.45)","0.0205 (SE=0.023; p=0.19)","-0.0512 (SE=0.018; p=0.0023)","-0.0959 (SE=0.012; p=6.9e-15)","-0.0511 (SE=0.017; p=0.0016)","0.919 (SE=0.03; p=0)",NA,"-0.498 (SE=0.16; p=0.0013)","-0.491 (SE=0.16; p=0.0014)","-0.367 (SE=0.17; p=0.019)","0.728 (SE=0.13; p=8e-07)","-0.149 (SE=0.14; p=0.15)","-0.02 (SE=0.14; p=0.44)","-0.42 (SE=0.19; p=0.016)","-0.482 (SE=0.19; p=0.0073)","-0.495 (SE=0.11; p=4.3e-05)","0.234 (SE=0.16; p=0.073)","-0.00841 (SE=0.14; p=0.48)","0.0243 (SE=0.15; p=0.44)","0.0288 (SE=0.18; p=0.44)","0.097 (SE=0.15; p=0.26)"
"Heel bone mineral density bmd","-0.0171 (SE=0.033; p=0.3)","-0.0025 (SE=0.033; p=0.47)","-0.00187 (SE=0.03; p=0.48)","0.00272 (SE=0.022; p=0.45)","-0.00086 (SE=0.028; p=0.49)","-0.0204 (SE=0.028; p=0.23)","-0.0241 (SE=0.023; p=0.15)","-0.0103 (SE=0.021; p=0.31)","0.00329 (SE=0.023; p=0.44)","-0.0374 (SE=0.022; p=0.042)","-0.0166 (SE=0.022; p=0.23)","0.00814 (SE=0.024; p=0.36)","-0.00139 (SE=0.025; p=0.48)","0.0186 (SE=0.024; p=0.22)","0.0027 (SE=0.038; p=0.47)","0.0234 (SE=0.022; p=0.15)","0.0916 (SE=0.024; p=7.8e-05)","0.099 (SE=0.032; p=0.00088)","0.00444 (SE=0.02; p=0.41)","0.0259 (SE=0.02; p=0.1)",NA,"0 (SE=0; p=NA)","-0.258 (SE=0.2; p=0.1)","-0.0305 (SE=0.18; p=0.43)","0.0108 (SE=0.17; p=0.47)","-0.0591 (SE=0.17; p=0.36)","-0.318 (SE=0.32; p=0.18)","-1 (SE=0.79; p=0.25)","-0.0143 (SE=0.18; p=0.47)","-0.092 (SE=0.2; p=0.32)","0.109 (SE=0.17; p=0.26)","-0.152 (SE=0.18; p=0.2)","0.292 (SE=0.22; p=0.094)","-0.117 (SE=0.18; p=0.26)"
"Heel bone mineral density tscore","-0.0153 (SE=0.033; p=0.32)","-0.00067 (SE=0.033; p=0.49)","-0.0011 (SE=0.031; p=0.49)","0.00521 (SE=0.022; p=0.41)","-0.00292 (SE=0.028; p=0.46)","-0.0222 (SE=0.028; p=0.22)","-0.0255 (SE=0.023; p=0.14)","-0.012 (SE=0.021; p=0.29)","0.00426 (SE=0.023; p=0.43)","-0.0365 (SE=0.022; p=0.047)","-0.0171 (SE=0.022; p=0.22)","0.00513 (SE=0.023; p=0.41)","-0.000379 (SE=0.025; p=0.49)","0.0214 (SE=0.024; p=0.19)","0.000506 (SE=0.038; p=0.49)","0.0236 (SE=0.022; p=0.15)","0.0927 (SE=0.024; p=6.5e-05)","0.0994 (SE=0.032; p=0.00087)","0.0048 (SE=0.02; p=0.41)","0.026 (SE=0.02; p=0.1)","0.604 (SE=0.025; p=0)",NA,"-0.276 (SE=0.2; p=0.085)","-0.0381 (SE=0.18; p=0.41)","0.0208 (SE=0.17; p=0.45)","-0.0508 (SE=0.16; p=0.38)","-0.307 (SE=0.32; p=0.2)","-1 (SE=0.8; p=0.26)","0.0137 (SE=0.18; p=0.47)","-0.101 (SE=0.19; p=0.3)","0.106 (SE=0.17; p=0.27)","-0.145 (SE=0.18; p=0.21)","0.303 (SE=0.21; p=0.083)","-0.132 (SE=0.18; p=0.23)"
"Hip circumference","-0.00207 (SE=0.024; p=0.47)","-0.00191 (SE=0.023; p=0.47)","0.000924 (SE=0.023; p=0.48)","-0.0407 (SE=0.018; p=0.012)","-0.0235 (SE=0.022; p=0.14)","-0.0244 (SE=0.022; p=0.13)","0.0113 (SE=0.014; p=0.21)","-0.0176 (SE=0.016; p=0.13)","0.0164 (SE=0.016; p=0.15)","0.0109 (SE=0.015; p=0.23)","0.00738 (SE=0.015; p=0.32)","-0.0144 (SE=0.016; p=0.19)","-0.0448 (SE=0.013; p=0.00021)","-0.0481 (SE=0.015; p=0.00054)","0.0117 (SE=0.021; p=0.29)","-0.136 (SE=0.012; p=0)","-0.00388 (SE=0.015; p=0.4)","-0.0249 (SE=0.022; p=0.12)","0.0268 (SE=0.015; p=0.041)","0.0287 (SE=0.015; p=0.032)","0.0243 (SE=0.021; p=0.12)","0.0261 (SE=0.021; p=0.1)",NA,"-0.128 (SE=0.18; p=0.23)","-0.00217 (SE=0.17; p=0.49)","-0.0527 (SE=0.16; p=0.37)","0.24 (SE=0.23; p=0.17)","0.204 (SE=0.24; p=0.22)","-0.145 (SE=0.15; p=0.17)","0.113 (SE=0.19; p=0.28)","0.00482 (SE=0.17; p=0.48)","0.000104 (SE=0.18; p=0.5)","-0.308 (SE=0.21; p=0.075)","-0.417 (SE=0.16; p=0.0082)"
"Waist circumference","0.0604 (SE=0.026; p=0.0095)","0.082 (SE=0.024; p=0.00039)","0.0741 (SE=0.025; p=0.0014)","0.0176 (SE=0.015; p=0.13)","-0.00453 (SE=0.021; p=0.41)","-0.00561 (SE=0.02; p=0.39)","0.016 (SE=0.016; p=0.16)","0.0103 (SE=0.016; p=0.26)","0.0348 (SE=0.018; p=0.028)","0.0441 (SE=0.018; p=0.0068)","0.0352 (SE=0.017; p=0.019)","-0.0357 (SE=0.018; p=0.022)","-0.0323 (SE=0.014; p=0.012)","-0.0259 (SE=0.015; p=0.046)","-0.0132 (SE=0.023; p=0.28)","-0.0632 (SE=0.017; p=0.00014)","-0.0864 (SE=0.013; p=1.1e-11)","-0.0404 (SE=0.021; p=0.026)","0.0433 (SE=0.019; p=0.013)","0.0387 (SE=0.019; p=0.023)","-0.0272 (SE=0.022; p=0.11)","-0.0274 (SE=0.022; p=0.11)","0.00851 (SE=0.016; p=0.29)",NA,"-0.33 (SE=0.14; p=0.0098)","-0.189 (SE=0.14; p=0.084)","-1 (SE=0.22; p=0.00087)","-1 (SE=0.22; p=0.00048)","-0.755 (SE=0.093; p=4.2e-11)","0.31 (SE=0.16; p=0.027)","0.114 (SE=0.14; p=0.21)","0.0098 (SE=0.15; p=0.47)","-0.137 (SE=0.18; p=0.22)","0.0569 (SE=0.15; p=0.35)"
"Hand grip strength left","0.0553 (SE=0.026; p=0.018)","0.0451 (SE=0.025; p=0.036)","0.00449 (SE=0.023; p=0.42)","-0.0197 (SE=0.017; p=0.12)","0.0044 (SE=0.024; p=0.43)","-0.00455 (SE=0.023; p=0.42)","-0.0553 (SE=0.012; p=2.5e-06)","-0.00976 (SE=0.017; p=0.28)","-0.0206 (SE=0.016; p=0.093)","-0.1 (SE=0.013; p=1.3e-14)","-0.00671 (SE=0.016; p=0.33)","0.00766 (SE=0.017; p=0.33)","0.0402 (SE=0.018; p=0.015)","0.0268 (SE=0.018; p=0.068)","0.00827 (SE=0.024; p=0.36)","0.0208 (SE=0.017; p=0.11)","0.0634 (SE=0.018; p=0.00019)","0.0327 (SE=0.022; p=0.071)","-0.0134 (SE=0.016; p=0.21)","-0.0221 (SE=0.016; p=0.082)","0.037 (SE=0.024; p=0.059)","0.0366 (SE=0.024; p=0.062)","-0.0044 (SE=0.016; p=0.39)","-0.0834 (SE=0.013; p=4.4e-11)",NA,"0.921 (SE=0.037; p=1.4e-13)","0.645 (SE=0.16; p=0.00026)","0.677 (SE=0.18; p=0.00064)","0.256 (SE=0.12; p=0.021)","-0.369 (SE=0.15; p=0.011)","0.189 (SE=0.13; p=0.088)","-0.215 (SE=0.14; p=0.069)","-0.228 (SE=0.17; p=0.11)","0.217 (SE=0.14; p=0.071)"
"Hand grip strenght right","0.0336 (SE=0.027; p=0.1)","0.0172 (SE=0.026; p=0.25)","-0.00704 (SE=0.024; p=0.39)","0.011 (SE=0.017; p=0.26)","0.0223 (SE=0.024; p=0.17)","0.0121 (SE=0.023; p=0.3)","-0.065 (SE=0.013; p=1.8e-07)","-0.0301 (SE=0.017; p=0.04)","-0.0321 (SE=0.016; p=0.02)","-0.113 (SE=0.013; p=0)","0.00199 (SE=0.015; p=0.45)","0.0127 (SE=0.017; p=0.23)","0.0416 (SE=0.017; p=0.0081)","0.0142 (SE=0.017; p=0.2)","0.00935 (SE=0.024; p=0.35)","0.0182 (SE=0.017; p=0.14)","0.064 (SE=0.018; p=0.00019)","0.0503 (SE=0.022; p=0.012)","-0.0237 (SE=0.017; p=0.086)","-0.0298 (SE=0.017; p=0.036)","0.05 (SE=0.023; p=0.017)","0.0493 (SE=0.024; p=0.018)","-0.000318 (SE=0.016; p=0.49)","-0.0976 (SE=0.014; p=5.9e-13)","0.719 (SE=0.028; p=0)",NA,"0.7 (SE=0.14; p=2.7e-05)","1 (SE=0.13; p=7.5e-06)","0.244 (SE=0.12; p=0.021)","-0.28 (SE=0.15; p=0.035)","0.129 (SE=0.13; p=0.17)","-0.23 (SE=0.13; p=0.049)","-0.0716 (SE=0.17; p=0.34)","0.165 (SE=0.14; p=0.12)"
"Forced vital capacity","0.0493 (SE=0.034; p=0.071)","0.0882 (SE=0.025; p=2e-04)","0.0139 (SE=0.015; p=0.18)","-0.0207 (SE=0.022; p=0.17)","0.00871 (SE=0.031; p=0.39)","0.0283 (SE=0.031; p=0.18)","-0.000529 (SE=0.017; p=0.49)","-0.0356 (SE=0.021; p=0.047)","-0.0478 (SE=0.017; p=0.0027)","0.00943 (SE=0.013; p=0.23)","0.0408 (SE=0.018; p=0.013)","-0.00963 (SE=0.022; p=0.33)","-0.00868 (SE=0.02; p=0.33)","-0.0168 (SE=0.02; p=0.2)","0.0197 (SE=0.028; p=0.24)","-0.116 (SE=0.012; p=0)","0.0186 (SE=0.022; p=0.2)","-0.0591 (SE=0.037; p=0.055)","0.0395 (SE=0.019; p=0.018)","0.039 (SE=0.019; p=0.022)","0.0665 (SE=0.032; p=0.019)","0.0642 (SE=0.032; p=0.023)","-0.000735 (SE=0.02; p=0.49)","-0.000906 (SE=0.012; p=0.47)","0.0769 (SE=0.025; p=0.001)","0.0772 (SE=0.025; p=0.0011)",NA,"0.897 (SE=0.043; p=0.00012)","0.755 (SE=0.18; p=0.00018)","-0.616 (SE=0.31; p=0.043)","-0.0699 (SE=0.19; p=0.36)","-0.06 (SE=0.19; p=0.38)","-0.793 (SE=0.25; p=0.017)","-0.203 (SE=0.21; p=0.2)"
"Forced expiratory volume","0.0176 (SE=0.034; p=0.3)","0.0389 (SE=0.031; p=0.11)","-0.0446 (SE=0.027; p=0.047)","-0.0356 (SE=0.023; p=0.058)","-0.00152 (SE=0.032; p=0.48)","0.0201 (SE=0.031; p=0.26)","-0.00405 (SE=0.017; p=0.41)","-0.0311 (SE=0.022; p=0.075)","-0.0469 (SE=0.018; p=0.0045)","-0.0438 (SE=0.014; p=0.0012)","0.0428 (SE=0.018; p=0.0088)","-0.000731 (SE=0.021; p=0.49)","-0.00213 (SE=0.019; p=0.45)","-0.00887 (SE=0.019; p=0.32)","0.0299 (SE=0.027; p=0.13)","-0.0673 (SE=0.014; p=1.2e-06)","0.0176 (SE=0.022; p=0.21)","-0.0417 (SE=0.037; p=0.13)","0.018 (SE=0.018; p=0.15)","0.0232 (SE=0.018; p=0.096)","0.0756 (SE=0.023; p=0.00053)","0.0738 (SE=0.023; p=0.00066)","-0.00899 (SE=0.02; p=0.32)","-0.0146 (SE=0.011; p=0.095)","0.0751 (SE=0.024; p=0.001)","0.0698 (SE=0.024; p=0.0021)","0.883 (SE=0.034; p=0)",NA,"0.68 (SE=0.18; p=5e-04)","-0.276 (SE=0.31; p=0.21)","-0.397 (SE=0.19; p=0.03)","0.176 (SE=0.2; p=0.21)","-0.9 (SE=0.21; p=0.013)","-0.289 (SE=0.21; p=0.11)"
"Basal metabolic rate","-0.0383 (SE=0.028; p=0.089)","-0.0486 (SE=0.029; p=0.045)","0.00782 (SE=0.025; p=0.37)","0.0135 (SE=0.019; p=0.24)","0.00988 (SE=0.027; p=0.36)","0.00608 (SE=0.027; p=0.41)","-0.0251 (SE=0.016; p=0.058)","-0.0123 (SE=0.018; p=0.24)","0.11 (SE=0.018; p=1.2e-09)","-0.0197 (SE=0.015; p=0.096)","0.00414 (SE=0.015; p=0.39)","0.00571 (SE=0.018; p=0.38)","0.0431 (SE=0.019; p=0.01)","0.0325 (SE=0.019; p=0.043)","-0.00851 (SE=0.024; p=0.36)","-0.129 (SE=0.011; p=0)","0.0704 (SE=0.02; p=0.00016)","0.00453 (SE=0.031; p=0.44)","-0.0432 (SE=0.014; p=0.0011)","-0.055 (SE=0.014; p=7.1e-05)","0.00493 (SE=0.029; p=0.43)","0.000555 (SE=0.029; p=0.49)","-0.0934 (SE=0.014; p=3e-11)","-0.0713 (SE=0.01; p=2.1e-12)","0.0816 (SE=0.02; p=3.1e-05)","0.0526 (SE=0.02; p=0.0042)","-0.0132 (SE=0.023; p=0.28)","0.00441 (SE=0.023; p=0.42)",NA,"-0.0593 (SE=0.14; p=0.34)","0.0271 (SE=0.12; p=0.42)","-0.0439 (SE=0.13; p=0.37)","0.266 (SE=0.22; p=0.13)","0.12 (SE=0.14; p=0.21)"
"Alcohol intake","-0.0187 (SE=0.023; p=0.21)","-0.0423 (SE=0.021; p=0.023)","0.0706 (SE=0.025; p=0.0021)","-0.105 (SE=0.015; p=3e-13)","-0.0545 (SE=0.02; p=0.0026)","-0.0527 (SE=0.02; p=0.0037)","0.0373 (SE=0.017; p=0.012)","-0.0651 (SE=0.01; p=6.4e-11)","0.0736 (SE=0.018; p=1.5e-05)","0.0574 (SE=0.018; p=9e-04)","0.0336 (SE=0.016; p=0.018)","-0.01 (SE=0.018; p=0.29)","-0.031 (SE=0.014; p=0.015)","0.0269 (SE=0.016; p=0.052)","-0.0176 (SE=0.022; p=0.21)","-0.0145 (SE=0.017; p=0.19)","-0.00589 (SE=0.017; p=0.36)","-0.0417 (SE=0.021; p=0.025)","-0.00431 (SE=0.017; p=0.4)","0.000199 (SE=0.018; p=0.5)","0.0133 (SE=0.022; p=0.27)","0.0111 (SE=0.021; p=0.3)","-0.0065 (SE=0.016; p=0.35)","-0.05 (SE=0.016; p=0.00094)","-0.0222 (SE=0.014; p=0.058)","-0.0204 (SE=0.015; p=0.084)","0.026 (SE=0.016; p=0.056)","0.000623 (SE=0.017; p=0.49)","0.0177 (SE=0.017; p=0.15)",NA,"-0.435 (SE=0.15; p=0.0034)","0.368 (SE=0.15; p=0.014)","-0.00194 (SE=0.2; p=0.49)","-0.893 (SE=0.086; p=9.2e-10)"
"Smoking Status","0.0138 (SE=0.025; p=0.29)","0.00828 (SE=0.024; p=0.36)","0.0422 (SE=0.026; p=0.054)","0.021 (SE=0.016; p=0.094)","-0.0103 (SE=0.022; p=0.32)","-0.0128 (SE=0.021; p=0.27)","-0.0112 (SE=0.016; p=0.24)","0.0329 (SE=0.015; p=0.016)","-0.0299 (SE=0.018; p=0.051)","0.0928 (SE=0.017; p=4.6e-08)","0.0482 (SE=0.017; p=0.0026)","0.0188 (SE=0.017; p=0.14)","0.0291 (SE=0.018; p=0.051)","0.00776 (SE=0.018; p=0.33)","-0.0109 (SE=0.025; p=0.33)","0.0133 (SE=0.017; p=0.21)","-0.00666 (SE=0.017; p=0.35)","-0.0208 (SE=0.024; p=0.19)","0.00213 (SE=0.017; p=0.45)","-0.00434 (SE=0.017; p=0.4)","-0.0741 (SE=0.023; p=0.00057)","-0.0739 (SE=0.023; p=6e-04)","0.000734 (SE=0.017; p=0.48)","0.0468 (SE=0.018; p=0.0044)","-0.0147 (SE=0.018; p=0.21)","-0.0244 (SE=0.018; p=0.086)","-0.013 (SE=0.02; p=0.26)","-0.034 (SE=0.017; p=0.022)","0.0118 (SE=0.019; p=0.26)","-0.108 (SE=0.011; p=0)",NA,"-0.987 (SE=0.0097; p=3.5e-11)","0.153 (SE=0.19; p=0.23)","0.714 (SE=0.13; p=2.7e-06)"
"Past tobacco use","0.0318 (SE=0.027; p=0.12)","0.037 (SE=0.026; p=0.074)","0.006 (SE=0.024; p=0.4)","-0.0558 (SE=0.018; p=0.0011)","-0.0332 (SE=0.023; p=0.079)","-0.0297 (SE=0.024; p=0.1)","0.0177 (SE=0.016; p=0.14)","-0.0325 (SE=0.017; p=0.028)","0.0279 (SE=0.014; p=0.025)","-0.0623 (SE=0.015; p=2e-05)","-0.0424 (SE=0.016; p=0.0049)","0.00645 (SE=0.018; p=0.36)","-0.0103 (SE=0.015; p=0.25)","0.0044 (SE=0.016; p=0.39)","-0.00426 (SE=0.023; p=0.43)","-0.00542 (SE=0.017; p=0.38)","0.00174 (SE=0.017; p=0.46)","0.00308 (SE=0.022; p=0.44)","0.0114 (SE=0.017; p=0.25)","0.0145 (SE=0.017; p=0.2)","0.0709 (SE=0.023; p=0.0011)","0.0704 (SE=0.023; p=0.0012)","-0.00085 (SE=0.016; p=0.48)","-0.0447 (SE=0.016; p=0.0023)","0.00409 (SE=0.016; p=0.4)","0.0179 (SE=0.016; p=0.14)","0.00979 (SE=0.02; p=0.31)","0.0308 (SE=0.022; p=0.08)","-0.00332 (SE=0.018; p=0.43)","0.15 (SE=0.02; p=1.1e-13)","-0.903 (SE=0; p=NA)",NA,"-0.471 (SE=0.17; p=0.014)","-0.644 (SE=0.14; p=3e-05)"
"Number cigarettes previously smoked","-0.0234 (SE=0.055; p=0.34)","-0.0291 (SE=0.052; p=0.29)","-0.0413 (SE=0.053; p=0.22)","-0.0283 (SE=0.039; p=0.23)","0.0583 (SE=0.049; p=0.12)","0.0394 (SE=0.049; p=0.21)","-0.0113 (SE=0.034; p=0.37)","0.025 (SE=0.035; p=0.23)","-0.0236 (SE=0.038; p=0.27)","0.0879 (SE=0.036; p=0.0069)","0.0446 (SE=0.036; p=0.11)","-0.0587 (SE=0.04; p=0.069)","0.0137 (SE=0.048; p=0.39)","-0.0173 (SE=0.071; p=0.4)","-0.127 (SE=0.1; p=0.11)","-0.00432 (SE=0.039; p=0.46)","-0.08 (SE=0.04; p=0.023)","-0.0388 (SE=0.054; p=0.24)","-0.0301 (SE=0.04; p=0.22)","-0.0155 (SE=0.04; p=0.35)","-0.133 (SE=0.051; p=0.0046)","-0.137 (SE=0.051; p=0.004)","0.0452 (SE=0.034; p=0.093)","0.0664 (SE=0.037; p=0.036)","-0.00359 (SE=0.036; p=0.46)","-0.044 (SE=0.037; p=0.12)","0.0556 (SE=0.043; p=0.099)","0.0437 (SE=0.03; p=0.074)","-0.0601 (SE=0.069; p=0.19)","0.0442 (SE=0.038; p=0.12)","-0.244 (SE=0.037; p=2.5e-11)","-0.0674 (SE=0.039; p=0.043)",NA,"-0.237 (SE=0.17; p=0.096)"
"Amount alcohol drunk typical day","-0.00772 (SE=0.03; p=0.4)","-0.0174 (SE=0.03; p=0.28)","-0.0581 (SE=0.03; p=0.025)","0.0125 (SE=0.021; p=0.28)","0.0204 (SE=0.025; p=0.21)","0.0151 (SE=0.026; p=0.28)","-0.0319 (SE=0.018; p=0.041)","-0.0341 (SE=0.021; p=0.05)","-0.0772 (SE=0.021; p=9.4e-05)","-0.0345 (SE=0.02; p=0.041)","0.0588 (SE=0.021; p=0.0027)","-0.0279 (SE=0.022; p=0.099)","0.0126 (SE=0.022; p=0.29)","0.0225 (SE=0.023; p=0.16)","-0.00715 (SE=0.035; p=0.42)","0.0183 (SE=0.02; p=0.18)","0.0202 (SE=0.019; p=0.15)","0.0367 (SE=0.028; p=0.096)","0.0199 (SE=0.022; p=0.18)","0.0123 (SE=0.022; p=0.29)","0.0361 (SE=0.028; p=0.1)","0.0384 (SE=0.028; p=0.087)","0.0404 (SE=0.018; p=0.014)","-0.0125 (SE=0.02; p=0.26)","0.0238 (SE=0.023; p=0.15)","0.007 (SE=0.022; p=0.38)","0.0182 (SE=0.026; p=0.24)","0.00539 (SE=0.025; p=0.42)","-0.0153 (SE=0.025; p=0.27)","-0.294 (SE=0; p=NA)","0.11 (SE=0.026; p=8.7e-06)","-0.105 (SE=0.014; p=3e-14)","0.102 (SE=0.045; p=0.012)",NA
